['10.1021/jm2008634', 2]
['10.1021/jm500766w', 3]
['10.1021/jm300185p', 4]
['10.1021/acs.jmedchem.0c01340', 5]
['10.1021/jm901453q', 6]
['10.1021/jm7013875', 8]
['10.1021/acs.jmedchem.7b00736', 9]
['10.1021/jm000527m', 10]
['10.1021/jm400218y', 11]
['10.1021/jm101478n', 12]
['10.1021/jm500552c', 15]
['10.1021/acs.jmedchem.1c00450', 18]
['10.1021/jm9010065', 19]
['10.1021/acs.jmedchem.9b00722', 20]
['10.1021/jm2016045', 21]
['10.1021/acs.jmedchem.8b01612', 23]
['10.1021/jm2007744', 24]
['10.1021/acs.jmedchem.7b01228', 25]
['10.1021/acs.jmedchem.5b00609', 27]
['10.1021/jm060184d', 29]
